h_fraction,sin_theta_now,b_norm_now,dh_last_window,sin_theta_next,b_norm_next,best_merit_next_3,merit_now,windows_since_dump,coast_h_fraction_3,coast_h_fraction_6,label
0.2192757367,0.9999852498,1.065834522,0.1263349795,0.9977862419,1.039574285,1.037272919,1.065818801,0.15,0.2843473874,0.684624562,0
0.1612761494,0.8814761799,1.039574285,0.1479130025,0.6225163328,0.8697092206,0.6041325699,0.9163599696,0.2,0.2730737127,0.8267592734,0
0.1644117877,0.5014504348,0.8697092206,0.1236107697,0.7964266496,0.8061193371,1.082329241,0.4361160668,0.25,0.3656007929,0.9145511082,0
0.1670997403,0.9877214543,0.8061193371,0.1022630742,0.9216400953,0.9692840208,0.8933310173,0.796221364,0.3,0.5258231151,0.9232560986,0
0.1694148193,0.8501429798,0.9692840208,0.1388389685,0.8522887367,1.10215434,0.9782698883,0.8240300057,0.35,0.6423099083,0.893723409,0
0.2529174376,0.9974516557,1.10215434,0.1883875744,0.9407248428,1.034652073,0.9733229092,1.099345671,0.4,0.661555624,0.8915820102,0
0.3841015113,0.7135991482,1.034652073,0.2004371715,0.510358468,0.8458837382,0.9950266974,0.7383268383,0.45,0.6055202023,0.9305363099,0
0.47815761,0.4423033926,0.8458837382,0.1747138505,0.8723014518,0.8255816396,1.086273522,0.3741372471,0.5,0.5624419589,0.9751667299,1
0.4520381143,0.7449877981,0.8255816396,0.179353989,0.9745490215,1.019412652,1.12989569,0.6150482479,0,0.4084942513,0.6345648284,0
0.4149562065,0.993006045,1.019412652,0.1141624471,0.9986110472,1.129899432,1.128330055,1.012282926,0.05,0.4169891136,0.7190965832,0
0.336045277,0.9999787504,1.129899432,0.1679115936,0.9882408741,1.021934439,1.009917384,1.129875422,0.1,0.3949964562,0.866078098,0
0.280827756,0.8670634111,1.021934439,0.1824012765,0.4985187685,0.8249197812,0.6923727253,0.8860819609,0.15,0.3892211176,1.012398002,0
0.269018756,0.2131653455,0.8249197812,0.1506834516,0.7012875308,0.85380947,1.14599238,0.1758443101,0.2,0.5014461971,1.091757978,0
0.257045824,0.9331979861,0.85380947,0.1375572106,0.9964475995,1.066550436,1.109925441,0.796773278,0.25,0.669880142,1.090424557,0
0.2704056808,0.9850966595,1.066550436,0.183937617,0.9880969816,1.148264861,1.134597043,1.050655272,0.3,0.7780085587,1.061132679,0
0.3725643199,0.9681987884,1.148264861,0.2297221288,0.844034949,1.002554421,0.8461909696,1.111748647,0.35,0.7806721794,1.065396179,0
0.5096864669,0.5922619639,1.002554421,0.2306455559,0.2623152197,0.8088460589,1.066456579,0.5937748504,0.4,0.7205566936,1.100146442,0
0.5951271299,0.390775492,0.8088460589,0.2006191498,0.9031524547,0.8882893798,1.134915337,0.3160772166,0.45,0.6889567404,1.136278023,0
0.5888948087,0.9778234168,0.8882893798,0.204763255,0.9828320009,1.108380057,1.099008064,0.8685901564,0.5,0.7079068394,1.189122141,0
0.5140507615,0.9620716981,1.108380057,0.2568169906,0.9601370233,1.156960637,1.110840742,1.066341083,0.55,0.7094521705,1.30201899,0
0.4459014634,0.9999899416,1.156960637,0.2929539882,0.9437594814,0.9778922579,0.9228950901,1.156949,0.6,0.6823564452,1.456853675,0
0.4345692426,0.6782865813,0.9778922579,0.2775611471,0.3479717131,0.7992181963,1.091120973,0.6632911965,0.65,0.7232006052,1.580702546,0
